         id         lat         lon
     234940 -34.0091698 151.0752334
     220095      55.937      37.853
     491506  -34.909175 138.5011263
     559404  38.8582457 -77.0542016
     267275     41.9815     12.7085
     373096   48.930967   21.896797
     467050   44.237079    12.07194
     535102 .4431987037 .9460667238
     285318   44.734536   37.771432
     570701       15.91       79.74
     573600      12.934      79.146
     573774   49.629209      6.0231
     413628  51.7399179   8.2507837
     328383  -27.559703  152.959263
     197184   32.593444 -110.907968
     328043   55.340301   -4.696295
     357047       41.52        -7.8
     569896     54.9723      -1.522
     418660   52.419353    16.90485
     406203   50.747044   3.5918145
     284283   45.709428   13.764574
     253878     36.3322       4.381
     453869        48.0         9.0
     571307       16.51       80.63
     571302       16.51       80.63
     321253        49.2       -98.1
     361024    8.661971   99.930708
     392550 .1989587147 .4130851284
     392551 .1989587147 .4130851284
     214306  59.7825439  15.8635614
     568743 52.88465118 -0.90345126
     357088       40.73       -8.37
     357087       39.92       -8.63
     357086       38.98       -8.81
     357085       38.43       -7.54
     357084       39.07       -7.61
     357083       39.29       -7.43
     357082       39.09       -9.26
     357081       38.38       -7.98
     357080       39.08       -8.17
     242506       37.99      -78.13
     159150   49.942626   36.272792
     265224 -32.6344882 115.6381828
     298724   50.415202 -104.590458
     333695     -35.462     149.096
     289913   48.803676   13.237986
     357029       40.14        -7.5
     357028       40.22       -8.05
     357024        39.4       -9.14
     357027       40.21       -8.42
     357026       40.15       -8.86
     357020       39.23       -8.68
     357023       39.62       -8.65
     564103   57.893046   16.725924
     350564   42.920378   22.933784
     267361   52.564751    9.838377
     365326       47.91        7.35
     357061       37.64       -8.63
     357060       37.95        -7.6
     357063       37.66       -7.66
     357062        37.7       -8.09
     357065       37.13       -7.65
     357064        37.5       -8.09
     357066       37.02       -7.93
     357069       37.32        -8.8
     357068        37.1       -8.67
     392219   52.174865     5.27028
     260978  -37.165174  174.718021
     282464  48.7359728  14.4955189
     357049       41.74       -7.47
     357042       41.38       -8.76
     357041       41.31       -7.18
     357040        41.3       -7.74
     357046       41.51        -8.0
     357045       41.72       -8.86
     357044       41.55       -8.42
     314716   54.034164   17.919383
     390836      -26.57      151.84
     536159   41.966858    12.77363
     178434   49.988777   36.222111
     357025        39.6       -9.07
     357021       39.74       -8.81
     357022        39.6       -8.41
     122191     38.8515     -77.051
     264743       49.29       19.96
     574118 -23.0096036 -45.5840789
     328867   42.146508  -71.143025
     226647   52.074404    1.131861
     507187  39.6685872 104.9673538
     327199      50.181     14.6499
     331473   51.597249   -0.700721
     126817       22.77     -102.66
     374687    40.26586  -85.416638
     262787  38.7239566 -77.4822469
     212922   44.462023   26.133103
      14664 .9470160323 2.063369751
     256881   54.981324   -7.319245
     305396   45.548585   12.063192
     338963        1.29      103.85
     207105   22.493941  114.141182
     340865   43.876345 -72.6732009
     434228   49.119444    8.279444
     210071  30.5092295 -97.8008534
     306254        61.5        23.8
     571313       16.51       80.63
     379398        45.4        9.16
     571311       16.51       80.63
     496521   57.667469    11.90453
        332        61.5        23.7
     322828   49.178189   16.550684
     533924   49.776467   13.163868
     357090       40.61       -6.83
     357091       40.04       -7.02
     357093       40.44       -8.43
     357094       40.48       -8.45
     357096       40.02        -8.1
     373128  -29.154861   30.542667
     392547 .1989587147 .4130851284
     392548 .1989587147 .4130851284
     571538     -34.066     151.012
     571535     -34.066     151.012
     573789     53.1211     -1.5843
     357095       40.86       -7.63
     337025      52.486      -1.899
     219897     34.7062    135.4941
     462617 .3240357938 .0881009868
     158388        49.2       -98.1
     227676   46.249649   25.190776
     357038       41.15       -8.61
     357039       41.27       -8.08
     357036       40.92       -7.94
     357037       40.79       -7.33
     357034       40.93       -8.54
     357035       40.93       -8.27
     357032       40.36       -7.86
     357033       40.54       -7.27
     357030       40.56       -8.68
     357031       40.66       -7.91
     437350   43.214795   12.574632
     480458   51.591516     0.58906
     216443       44.85      20.403
     404410 .9860350687 .9867610568
     404417   52.202806   5.4130355
     431572   45.466695 -122.642436
     494995   45.157949    7.655619
     357018       38.72       -9.13
     357019       39.36       -9.38
     317451       39.22      -8.995
     357072       37.47       -7.47
     357071       37.27        -8.0
     357076       39.81        -8.1
     357077       39.82       -7.49
     357074       41.34       -6.71
     357075       41.06        -7.2
     357078       39.56       -7.85
     357079       39.32       -8.16
     105545   51.522492   30.755248
     484395     51.0067      -2.204
     278191   30.751233  -96.312452
     357067       37.08       -8.26
     196384   49.988777   36.222111
     253277   24.738283  120.992549
     357058       38.02       -8.68
     357059       37.88       -8.17
     357054       38.18       -8.57
     357056       38.18       -7.74
     357057       38.21       -7.23
     357050       38.52       -8.91
     357051       38.68       -8.46
     357052       38.57        -7.9
     357053       38.81       -7.45
     562128       21.85       96.34
     264821   51.132969    4.149158
      12397   42.299676  -71.350525
