disc,label
temperature of imac cpu in f,t
exp8266 ccs811 bme280 ir distance sensor michaelson interferometer vibration,o
this fetches fitbit data and plot the calories data,o
arduino based project,u
shows if the huddle room is available or not,o
instantaneous performance data from my inverter,e
switch room 311 temperature,t
off grid solar wind system,e
data presented here are from my weatherduino pro2 meteo station aqm development system from cz brandys l,w
maintains the averages for each sensor,u
with alphasense opc n2,u
raspberry pi sense hat sensor readings from the shop,u
tracks your mood and sound,o
temp humidity and heat index from dht22 connected to esp8266,t
esp8266 01 base weather data transmitter,w
ultrasonic using iot,o
raspberry pi at work,o
8xport temperatury,t
channel for visualization outdoor meteo data temperature humidity and air pressure in vut brno,t
server room monitoring,o
dht11 temp and humidity sensor at greenhouse,t
monitors for utility power outages and high water level in sump,e
particle photon with environmental sensors,w
sensor 120 box at trees water level,o
temperature humidity pressure,t
dallas semiconductor ds18b20 temperature sensor attached to a adafruit huzzah esp8266 board to monitor the temperature in the storage room,t
temperature of lwp2 6th floor,t
office 243 temperature,t
helping plants get optimum air light temperature humidity and soil moisture using an array of micro controllers sensors actuators and wifi,t
esp8266 micropython raspberry pi mosquitto mqttwarn,o
this is a test case for the sensors,o
from bmp180,o
we provide a community hub and have a network of volunteers working closely with our town and county councils local police and health board we provide regular weekly and also one off events for the community,o
upload data from stm32 with esp2866,o
sensor used pms7003,o
data storage for weather station and subsequent data prediction,w
weatherduino pro2 plus,o
pig easy sow feeder 6,o
pig easy sow feeder 2,o
pig easy sow feeder 4,o
weather sensors run by pic16f628 microcontroller data read by rpi and uploaded using curl on linux updates every 20 min,w
memory usage,o
energy produced and battery charging data,e
meteorologic station in rumburk,o
temperature in the big display tank,t
stores temperature sensors readings,t
stores temperature sensor readings,t
stores temperature sensor readings,t
read temperature and humidity from dht22 on wemos d1 mini,t
sending data from raspberry to thingspeak,o
zalishchyky gimnasia meteostation based on esp8266 board,u
ch1 collect temperature and humidity data from adafruit feather esp8266 module,t
csbb thermal monitor from ds18b20 sensor,t
test weather channel,w
with connectivity we thrive,u
inductive sensing,o
there is heat in se serverroom,t
electric imp connected to max31855 thermocouple amp from adafruit reading glass fusing kiln temperature,t
temp of the spa,t
temperature humidity dust of soonmin park living room,t
status location,o
test for thing speak,o
myhouse east 2nd outside,u
temperature in miner room,t
dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,t
open or closed what is the temperature,t
digital smart meter readings every five minutes the dsm connected particle sends out a telegram regarding the actual kwh1 kwh2 and m3gas values,t
am2301 humidity and temperature sensor sonoff th16,t
mckinley hive weight change in the last 10 minutes and the last 20 minutes,o
8 x 240w solar panels schutten and 2 kw direct dc water heater,e
temperatures in laundry room,t
this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,u
collecting temp pressure humidity data,t
wireless temperature and humidity monitor located in link,t
wireless temperature and humidity monitor located in link,t
monitor temperature and humidity from my dry aged room,t
fish pond monitoring system,o
testing esp8266 with ds18b20 batterypower,e
temperature humidity and light level in guest bedroom,t
collect and send all wifi data,o
vaillant vrc 410 heating device monitoring,t
remote temperature and humidity monitor data sent via wifi through a router to thing speak for interpolation operates 24 7 and allows temperature recording for applications needing logging capabilities,t
to know the status of classroom power control,e
this is gas detector project,o
test temp project research,t
inventory,o
read temperature humidity and carbondioxide arduino nano and esp 01 is used,t
it begins finally,u
