user,disc,channel_id,label
lemonkey,temperature of imac cpu in f,462511,t
richardo82,exp8266 ccs811 bme280 ir distance sensor michaelson interferometer vibration,48896,o
aishvarya5,this fetches fitbit data and plot the calories data,572911,o
sourav15100,arduino based project,561646,u
mletizia7794,shows if the huddle room is available or not,325308,o
trjw,instantaneous performance data from my inverter,26390,e
khongpt,switch room 311 temperature,531494,t
thingspeak1953,off grid solar wind system,424836,e
hornychz,data presented here are from my weatherduino pro2 meteo station aqm development system from cz brandys l,327199,w
dutchieholland,maintains the averages for each sensor,208557,u
baurd,with alphasense opc n2,295702,u
lemonkey,raspberry pi sense hat sensor readings from the shop,295708,u
aawjik1,tracks your mood and sound,275503,o
danee66,temp humidity and heat index from dht22 connected to esp8266,68281,t
vbandke,esp8266 01 base weather data transmitter,513058,w
velaganaresh4d8,ultrasonic using iot,573916,o
alaa5246,raspberry pi at work,573912,o
raszowdom1,8xport temperatury,400521,t
texx23,channel for visualization outdoor meteo data temperature humidity and air pressure in vut brno,432138,t
hosam_eldin,server room monitoring,242145,o
MelihKey,dht11 temp and humidity sensor at greenhouse,290739,t
jachristensen,monitors for utility power outages and high water level in sump,879,e
codycushing,particle photon with environmental sensors,382189,w
ilwckb252,sensor 120 box at trees water level,406292,o
kahhu3,temperature humidity pressure,430289,t
serbannistor,dallas semiconductor ds18b20 temperature sensor attached to a adafruit huzzah esp8266 board to monitor the temperature in the storage room,87574,t
asilcock,temperature of lwp2 6th floor,334346,t
francobollo,office 243 temperature,214793,t
ashishshukla78,helping plants get optimum air light temperature humidity and soil moisture using an array of micro controllers sensors actuators and wifi,92080,t
qwaz1234,esp8266 micropython raspberry pi mosquitto mqttwarn,342872,o
docblock,this is a test case for the sensors,572085,o
hkuspace,from bmp180,408033,o
artisans,we provide a community hub and have a network of volunteers working closely with our town and county councils local police and health board we provide regular weekly and also one off events for the community,391722,o
Madou1992,upload data from stm32 with esp2866,570779,o
x123123,sensor used pms7003,290432,o
djinnming,data storage for weather station and subsequent data prediction,557724,w
barrow4491,weatherduino pro2 plus,408290,o
estave,pig easy sow feeder 6,559895,o
estave,pig easy sow feeder 2,559891,o
estave,pig easy sow feeder 4,559893,o
thaumaturge,weather sensors run by pic16f628 microcontroller data read by rpi and uploaded using curl on linux updates every 20 min,331473,w
jamarena,memory usage,344722,o
aluiziorn,energy produced and battery charging data,233298,e
lumirkus,meteorologic station in rumburk,209930,o
chrismoran,temperature in the big display tank,573700,t
