author,disc,channel_num,type,azure_keywords
rmckenzi,logging of temp and humidity in the kitchen fridge using esp8266 dht22,324546,t,kitchen fridge
snapperbourke,current weather readings and solar powered station battery voltage,234940,w,current weather readings
harmemy,temperature and humidity,561251,t,temperature
v6calibra,esp 8266 based heating controller equipped with forecast feature to compensate lag of the hydronic underfloor heating,446726,o,forecast feature
cbradio,wifi thermometer with esp8266 and dht12 bmp280,531929,t,dht12 bmp280
za86za86,temperature sensor use wifi to update on thingspeak,570814,t,temperature sensor
Melker,temp logging whit esp8266,19713,t,temp logging whit esp8266
pterodaktil,data from weatherstation located in korolev moscow region taken with davis vantage pro 2,220095,w,weatherstation
keithbecvar01,3 devices measuring energy at home,161271,e,devices
kiarozioiot,weather station using esp8266,491506,w,weather station
smartbin5,to count the waste thrown,551380,o,waste
bramcloet,this datastream shows inside and outside temperature of my home and also the battery power and voltage of my solar powered home,344115,t,outside temperature
maacb123,ultrasonic waves,571662,o,ultrasonic waves
hamk3hlt,weather station,559404,w,weather station
tobert,test channel for logging data to verify functionality,489304,u,test channel
francistaillieu,track output changes of my homecontrol openhab,57614,o,homecontrol openhab
mg2371,use for home automation,572427,u,home automation
thamidi,this will be the first esp 8266 readout channel,240329,u,readout channel
philippesimier,the connected beehive,539387,o,connected beehive
backyardbrewing,tracking temperature and humidity in the brewery,351913,t,temperature
janu5111,reading the updated temperature sensor values,570287,t,updated temperature sensor values
loewal,temperature and humidity,390191,t,temperature
takigikou,living room temperature humidity and atmospheric pressure in taipei taiwan,520163,t,room temperature humidity
saylur,home security and monitor in wilmington nc,336188,o,wilmington nc
konradfk,measurement of road traffic in front of ont headquarters in krak w poland,438049,o,measurement of road traffic
essalokesh,find temperature,571991,t,temperature
exocet5,higrometro y termometro via wifi,254993,t,higrometro y termometro
jorick,keeps an eye on the air quality around our precious developers,83127,o,precious developers
mrix33,iot workshop by platforuma,573735,u,iot workshop
mangalsanidhya,iotworkshop by platforuma,573733,u,iotworkshop
raikararchita,iot workshop,573732,u,iot workshop
vikas2205,iot workshop,573738,u,iot workshop
wilkist1,sensor readings from the main bedroom sensor block,76402,u,main bedroom sensor block
clark249,home water cylinder temparature,569780,o,home water cylinder temparature
jimmyfergus,atmostpheric data using a d1 mini and bme280 sensor,572236,w,atmostpheric data
paperfriend,testing esp8266 weather station,267275,w,esp8266 weather station
silkwormscauca,monitoring system for silkworms incubator,417167,o,system
hamsternz,bedroom temperature humidity monitored using an esp32 and a dht11 sensor,354869,t,bedroom temperature humidity
levisurprise,ict task,573458,u,task
Palachinko,this one leg of the 220 vac feed to the submersible pump supplying our farm,526424,o,farm
hgshepherd,logs data from bedroom heater control,339453,t,bedroom heater control
seb1337,time it takes to spend 1 watt,244322,e,time
kushjn1122,height of electrolyte,486819,o,height of electrolyte
tharanisneha13,itdepartmentsecyear,571606,u,itdepartmentsecyear
selciya,selci is a very bad,571608,u,selci
Brno,using esp12 and ds18b20 sensor powered from small solar panel 0 5w and li ion battery,143854,t,li ion battery
hankmofi,esp8266 201 thermometer,107523,t,esp8266
jmwathen,connection of ac split core transformers to my washer and dryer with esp8266 and ads1115,167296,e,dryer
pasmie,sht30 sensor connected to wemos d1 mini platform with antenna low power,64938,t,antenna low power
avinashh,home status monitoring,226523,o,home status monitoring
GengusKahn,esp8266 with i2c arduino slave and mq 2 mq 7 gas sensors with sht21 temp hum sensor posting via mobile 4g wifi,209159,t,esp8266
dilshat,from iot module 8,282991,u,iot module
isornp,temperature humidity,261101,t,temperature humidity
plantgroup,2 rain barrels and smart irrigation systems,285785,o,smart irrigation systems
loxxxa,irrigation water level monitoring and temp humidity via dht11 sensor,353663,t,irrigation water level monitoring
prakashsaldanha,second weather station based on nodemcu and dht22,147518,w,nodemcu
palmyweather,this data displays the air quality information gathered from the palmy weather website based in palmerston north new zealand http palmyweather co nz,339669,o,nz
pps772,bme280 ds18b20 bh1750 dht11 esp 8266 ssd1306 attiny13a fs1000a,382621,t,ssd1306 attiny13a fs1000a
cmummery,temp and vibration,340282,t,temp
jo1hdv,sensors dht22 and adafruit bmp280 inside of the shed wireless connection esp8266 and arduino uno,319005,t,arduino uno
mike27140,autonomous temperature wifi sensor for my fish tank,26781,t,fish tank
rodnewhampshire,lora iot home environmental monitoring system,303209,o,lora iot home environmental monitoring system
stevewalton,outside temperature humidity air pressure and light level,283643,t,light level
tholman,internal sm1131 th06,399031,t,internal sm1131 th06
jcocciardi,temperature and humidity monitoring device 1,277463,t,temperature
sbkim92,temperature humidity monitoring channel,570831,t,temperature humidity monitoring channel
mawrob,ockway bay tide measured using maxbotix ultrasonic range sensor particle electron,22641,o,ockway bay tide
jwosnick,temperature and humidity monitoring at home,28649,t,temperature
zwieratko1,weather condition in humenne slovakia measured by bme280 data sended by iot lpwan sigfox node uart modem 868mhz,373096,w,weather condition
breakfreefr,wine stability temperature and extras,277647,t,wine stability temperature
fabion,mesure temperature and humidity,536369,t,mesure temperature
bornok1985,reads from dth11 sensor and uploads every 30 seconds,75290,t,seconds
quentinjvr,receive change in data and send an email,570768,u,data
rberkelm,zolly hive data adjusted for humidity,572543,o,zolly hive data
